Name,Abbreviation,City,State,Conference,Division,Coach
Boston Celtics,BOS,Boston,Massachusetts,East,Atlantic,Joe Mazzulla
Brooklyn Nets,BKN,Brooklyn,New York,East,Atlantic,Jordi Fernandez
New York Knicks,NYK,New York,New York,East,Atlantic,Mike Brown
Philadelphia 76ers,PHI,Philadelphia,Pennsylvania,East,Atlantic,Nick Nurse
Toronto Raptors,TOR,Toronto,Ontario,East,Atlantic,Darko Rajakovic
Chicago Bulls,CHI,Chicago,Illinois,East,Central,Billy Donovan
Cleveland Cavaliers,CLE,Cleveland,Ohio,East,Central,Kenny Atkinson
Detroit Pistons,DET,Detriot,Michigan,East,Central,J.B. Bickerstaff
Indiana Pacers,IND,Indianapolis,Indiana,East,Central,Rick Carlisle
Milwaukee Bucks,MIL,Milwaukee,Wisconsin,East,Central,Doc Rivers
AtlantaHawks,ATL,Atlanta,Georgia,East,Southeast,Quin Snyder
Charlotte Hornets,CHA,Charlotte,North Carolina,East,Southeast,Charles Lee
Miami Heat,MIA,Miami,Florida,East,Southeast,Erik Spoelstra
Orlando Magic,ORL,Orlando,Florida,East,Southeast,Jamahl Mosley
Washington Wizards,WAS,Washington,DC,East,Southeast,Brian Keefe
Denver Nuggets,DEN,Denver,Colorado,West,Northwest,David Adelman
Minnesota Timberwolves,MIN,Minneapolis,Minnesota,West,Northwest,Chris Finch
Oklahoma City Thunder,OKC,Oklahoma City,Oklahoma,West,Northwest,Mark Daigneault
Portland Trail Blazers,POR,Portland,Oregon,West,Northwest,Tiago Splitter
Utah Jazz,UTA,Salt Lake City,Utah,West,Northwest,Will Hardy
Golden State Warriors,GSW,San Francisco,California,West,Pacific,Steve Kerr
Los Angeles Clippers,LAC,Los Angeles,California,West,Pacific,Tyronn Lue
Los Angeles Lakers,LAL,Los Angeles,California,West,Pacific,JJ Redick
Phoenix Suns,PHX,Phoenix,Arizona,West,Pacific,Jordan Ott
Sacramento Kings,SAC,Sacramento,California,West,Pacific,Doug Christie
Dallas Mavericks,DAL,Dallas,Texas,West,Southwest,Jason Kidd
Houston Rockets,HOU,Houston,Texas,West,Southwest,Ime Udoka
Memphis Grizzlies,MEM,Memphis,Tennessee,West,Southwest,Tuomas Iisalo
New Orleans Pelicans,NOP,New Orleans,Louisiana,West,Southwest,Willie Green
San Antonio Spurs,SAS,San Antonio,Texas,West,Southwest,Mitchell Johnson
